nombre,estilo,alcohol_%,min_IBU,max_IBU,astringencia,cuerpo,alcohol_gr/lt,amargor,dulzor,acidez,salado,frutado,lupulo,especias,malteado,opinion_aroma,opinion_apariencia,opinion_paladar,opinion_sabor,opinion_general
Amber,Altbier,5.3,25,50,13,32,9,47,74,33,0,33,57,8,111,3.5,3.64,3.56,3.64,3.85
Double Bag,Altbier,7.2,25,50,12,57,18,33,55,16,0,24,35,12,84,3.8,3.85,3.9,4.02,4.03
Long Trail Ale,Altbier,5.0,25,50,14,37,6,42,43,11,0,10,54,4,62,3.41,3.67,3.6,3.63,3.83
Doppelsticke,Altbier,8.5,25,50,13,55,31,47,101,18,1,49,40,16,119,4.15,4.03,4.15,4.21,4.01
Sleigh'r Dark Doüble Alt Ale,Altbier,7.2,25,50,25,51,26,44,45,9,1,11,51,20,95,3.62,3.97,3.73,3.77,3.82
Sticke,Altbier,6.0,25,50,22,45,13,46,62,25,1,34,60,4,103,4.01,4.01,4.09,4.19,4.23
Okto Festival Ale,Altbier,5.3,25,50,28,40,3,40,58,29,0,36,54,8,97,3.32,3.64,3.37,3.35,3.48
Southampton Altbier,Altbier,5.0,25,50,18,49,5,37,73,22,0,21,37,4,98,3.5,3.74,3.59,3.58,3.74
Copper,Altbier,4.8,25,50,25,35,4,38,39,13,1,8,60,16,97,3.85,4.04,4.12,3.99,4.18
Organic Münster Alt,Altbier,5.1,25,50,35,31,5,35,50,55,0,52,66,8,77,3.53,3.53,3.61,3.59,3.77
Altbier,Altbier,4.7,25,50,34,48,9,55,59,25,1,32,68,12,121,3.89,4.06,3.95,4.05,4.1
Gerst Amber,Altbier,5.1,25,50,10,19,1,21,30,11,0,8,24,2,65,3.83,4.33,3.83,4.0,4.0
Ad Astra Ale,Altbier,5.6,25,50,7,30,5,43,43,13,1,13,50,6,93,3.52,3.9,3.77,3.69,3.87
Copperhead Ale,Altbier,5.2,25,50,9,32,9,29,54,13,1,11,32,2,112,3.2,3.54,3.27,3.3,3.48
Ten Years Alt,Altbier,8.5,25,50,14,55,31,48,105,31,0,37,59,19,115,3.83,4.0,3.98,3.99,3.89
Three Blind Mice,Altbier,5.5,25,50,11,58,6,47,49,5,1,3,50,5,110,3.5,3.79,3.64,3.64,3.64
Ishmael,Altbier,4.9,25,50,17,41,1,55,43,18,1,20,80,7,103,3.53,3.91,3.81,3.91,3.9
Headwall Alt,Altbier,4.5,25,50,19,42,13,54,62,19,0,25,64,10,135,3.57,3.89,3.71,3.73,3.82
Alt-eration Ale,Altbier,5.0,25,50,21,43,3,54,54,7,0,10,60,9,111,3.5,4.0,4.0,4.0,4.5
Schell's Schmaltz's Alt,Altbier,5.1,25,50,21,72,9,48,102,25,1,50,43,13,176,3.91,3.9,3.74,3.94,4.08
Frankenheim Alt,Altbier,4.8,25,50,19,43,5,39,43,13,1,6,45,8,97,3.61,3.95,3.7,3.73,3.85
Iron Works Alt,Altbier,5.5,25,50,37,50,16,60,84,32,0,46,83,19,121,3.85,3.97,4.04,4.0,4.0
Diebels Premium Altbier,Altbier,4.9,25,50,21,27,5,37,33,13,0,13,45,10,70,3.75,3.81,3.62,3.62,3.88
Mission Amber,Altbier,5.0,25,50,24,36,9,59,55,20,2,18,80,7,132,3.59,3.74,3.41,3.59,3.47
Hövels Original,Altbier,5.5,25,50,22,38,10,47,54,10,1,14,68,2,117,3.52,3.79,3.71,3.62,3.75
Secret Spot Alt Ale,Altbier,6.3,25,50,14,53,16,69,67,29,0,23,87,18,103,3.62,3.62,4.0,4.0,4.12
Lighthouse Amber,Altbier,5.25,25,50,11,67,5,35,86,21,0,28,54,4,138,4.0,4.0,4.0,4.0,4.0
Série Signature Sticke Alt,Altbier,6.0,25,50,17,57,14,96,106,23,0,42,16,11,130,3.92,4.22,3.98,3.92,3.87
Crooked Coast Altbier,Altbier,5.1,25,50,20,36,7,76,47,39,2,40,100,8,76,3.97,4.19,3.83,4.06,4.08
